vBestLabels1,vBestLabels2,vBestLabels3,vBestLabels4,vBestLabels5,vBestLabels6,vBestLabels7
11862,0.206860593175558,2,Polygon,MCML,correlation,average
11863,0.206734331829373,20,Polygon,SymSNE,cityblock,weighted
11864,0.206686379460465,10,Polygon,KernelPCA,correlation,average
11865,0.20659208133704,20,Polygon,SymSNE,squaredeuclidean,weighted
11866,0.206523852680712,20,Polygon,KernelPCA,mahalanobis,ward
11867,0.206501360433939,2,Histogram,FactorAnalysis,chebychev,single
11868,0.206498002974742,10,Polygon,KernelPCA,mahalanobis,ward
11869,0.206437175598768,20,Histogram,LandmarkIsomap,seuclidean,single
11870,0.206389853503246,5,Polygon,NCA,correlation,single
11871,0.206357003882704,10,Polygon,ProbPCA,mahalanobis,single
11872,0.206309226971086,10,Polygon,SymSNE,chebychev,weighted
11873,0.206301110580176,10,Polygon,PCA,correlation,single
11874,0.206301110580176,10,Polygon,MDS,correlation,single
11875,0.206301110580176,10,Polygon,GPLVM,correlation,single
11876,0.206274335927626,20,Histogram,SymSNE,cityblock,weighted
11877,0.206263046765102,5,Histogram,LandmarkIsomap,seuclidean,single
11878,0.206249365421081,2,Polygon,DiffusionMaps,correlation,centroid
11879,0.206214411166326,10,Polygon,SymSNE,squaredeuclidean,weighted
11880,0.206039512199796,20,Histogram,DiffusionMaps,euclidean,single
11881,0.206039512199796,20,Histogram,DiffusionMaps,squaredeuclidean,single
11882,0.206039512199796,20,Histogram,DiffusionMaps,minkowski,single
11883,0.205924588474604,20,Polygon,LLC,seuclidean,single
11884,0.205865987810339,20,Polygon,LPP,mahalanobis,single
11885,0.205842887675566,10,Polygon,SymSNE,mahalanobis,weighted
11886,0.205839668266852,5,Polygon,SymSNE,euclidean,centroid
11887,0.205839668266852,5,Polygon,SymSNE,minkowski,centroid
11888,0.205835754604068,20,Histogram,SymSNE,correlation,centroid
11889,0.205687737863963,2,Histogram,KernelPCA,hamming,ward
11890,0.205687737863963,2,Histogram,KernelPCA,jaccard,ward
11891,0.205494602359603,20,Histogram,KernelPCA,spearman,centroid
11892,0.205487562433351,5,Histogram,LandmarkIsomap,mahalanobis,single
11893,0.205396545114795,20,Polygon,SymSNE,correlation,median
11894,0.205381358688688,5,Polygon,ManifoldChart,cityblock,single
11895,0.20535501760428,5,Histogram,KernelPCA,squaredeuclidean,ward
11896,0.205349906825398,2,Polygon,Isomap,spearman,complete
11897,0.205349906825398,2,Polygon,Isomap,spearman,average
11898,0.205349906825398,2,Polygon,Isomap,spearman,weighted
11899,0.205349906825398,2,Polygon,Isomap,spearman,ward
11900,0.205330391155195,20,Polygon,NCA,cosine,single
11901,0.205320985254543,5,Polygon,LDA,correlation,single
11902,0.205238184185383,20,Polygon,GDA,correlation,weighted
11903,0.205186940021147,10,Polygon,KernelPCA,spearman,centroid
11904,0.2051650326856,2,Polygon,LLE,correlation,centroid
11905,0.205121393027839,20,Polygon,SymSNE,mahalanobis,weighted
11906,0.205116697168217,20,Polygon,NPE,seuclidean,single
11907,0.205107247566815,5,Polygon,KernelPCA,chebychev,ward
11908,0.205043955429691,5,Polygon,KernelPCA,seuclidean,complete
11909,0.205036616521419,2,Polygon,KernelPCA,chebychev,ward
11910,0.204987916625853,20,Polygon,KernelPCA,euclidean,ward
11911,0.204987916625853,20,Polygon,KernelPCA,minkowski,ward
11912,0.204981623405789,10,Polygon,KernelPCA,cityblock,complete
11913,0.204968877955033,2,Polygon,PCA,cityblock,single
11914,0.204968877955033,2,Polygon,MDS,cityblock,single
11915,0.204968877955033,2,Polygon,GPLVM,cityblock,single
11916,0.204880522094223,2,Polygon,Isomap,correlation,centroid
11917,0.204806771956736,10,Polygon,LDA,mahalanobis,single
11918,0.204789034896154,20,Polygon,GDA,cosine,centroid
11919,0.204769640430775,10,Polygon,CFA,correlation,ward
11920,0.204760614971712,5,Polygon,LLTSA,chebychev,single
11921,0.20475062085673,10,Histogram,PCA,mahalanobis,single
11922,0.20475062085673,10,Histogram,MDS,mahalanobis,single
11923,0.20475062085673,10,Histogram,GPLVM,mahalanobis,single
11924,0.204704810271392,20,Histogram,SymSNE,seuclidean,weighted
11925,0.204668626908206,2,Polygon,LLE,mahalanobis,single
11926,0.204660265469179,5,Polygon,KernelPCA,euclidean,complete
11927,0.204660265469179,5,Polygon,KernelPCA,squaredeuclidean,complete
11928,0.204660265469179,5,Polygon,KernelPCA,minkowski,complete
11929,0.204610117425646,2,Histogram,GDA,hamming,ward
11930,0.204610117425646,5,Histogram,GDA,hamming,ward
11931,0.204610117425646,10,Histogram,GDA,hamming,ward
11932,0.204610117425646,20,Histogram,GDA,hamming,ward
11933,0.204610117425646,2,Histogram,GDA,jaccard,ward
11934,0.204610117425646,5,Histogram,GDA,jaccard,ward
11935,0.204610117425646,10,Histogram,GDA,jaccard,ward
11936,0.204610117425646,20,Histogram,GDA,jaccard,ward
11937,0.204574268726602,2,Histogram,SPE,spearman,complete
11938,0.204574268726602,2,Histogram,SPE,spearman,average
11939,0.204574268726602,2,Histogram,SPE,spearman,weighted
11940,0.204574268726602,2,Histogram,SPE,spearman,ward
11941,0.204546487715954,10,Polygon,SymSNE,cityblock,average
11942,0.20452570816908,2,Polygon,GPLVM,correlation,weighted
11943,0.204523427256354,20,Histogram,KernelPCA,hamming,ward
11944,0.204523427256354,20,Histogram,KernelPCA,jaccard,ward
11945,0.204512956677513,20,Histogram,SymSNE,correlation,median
11946,0.204396526728162,10,Histogram,KernelPCA,hamming,ward
11947,0.204396526728162,10,Histogram,KernelPCA,jaccard,ward
11948,0.204376372833108,10,Polygon,NPE,cosine,single
11949,0.204369104719626,20,Histogram,LLC,chebychev,single
11950,0.20430914531635,20,Polygon,GDA,correlation,centroid
11951,0.204188995329714,20,Polygon,ProbPCA,cityblock,single
11952,0.204163729541896,20,Polygon,LLC,euclidean,single
11953,0.204163729541896,20,Polygon,LLC,squaredeuclidean,single
11954,0.204163729541896,20,Polygon,LLC,minkowski,single
11955,0.203916863157504,20,Polygon,PCA,correlation,single
11956,0.203916863157504,20,Polygon,MDS,correlation,single
11957,0.203916863157504,20,Polygon,GPLVM,correlation,single
11958,0.203903904979791,5,Polygon,LLTSA,euclidean,single
11959,0.203903904979791,5,Polygon,LLTSA,squaredeuclidean,single
11960,0.203903904979791,5,Polygon,LLTSA,minkowski,single
11961,0.203882139176233,10,Polygon,SymSNE,mahalanobis,average
11962,0.203847917009266,5,Histogram,Isomap,cityblock,single
11963,0.203608975142459,2,Histogram,NPE,mahalanobis,single
11964,0.203575622782877,20,Histogram,MCML,cityblock,median
11965,0.203506409553686,10,Polygon,ProbPCA,chebychev,single
11966,0.202981941422463,5,Polygon,KernelPCA,mahalanobis,complete
11967,0.20290123772256,2,Polygon,MCML,correlation,weighted
11968,0.202852076829915,2,Histogram,KernelPCA,squaredeuclidean,median
11969,0.202843894013368,20,Histogram,SymSNE,euclidean,average
11970,0.202843894013368,20,Histogram,SymSNE,minkowski,average
11971,0.202775747685546,10,Histogram,KernelPCA,seuclidean,ward
11972,0.202701452538561,2,Histogram,KernelPCA,euclidean,complete
11973,0.202701452538561,2,Histogram,KernelPCA,squaredeuclidean,complete
11974,0.202701452538561,2,Histogram,KernelPCA,minkowski,complete
11975,0.202510018004464,2,Polygon,GPLVM,correlation,average
11976,0.202497007699242,10,Polygon,SymSNE,euclidean,average
11977,0.202497007699242,10,Polygon,SymSNE,minkowski,average
11978,0.202476689386344,2,Polygon,NCA,correlation,average
11979,0.202450871647794,20,Histogram,Sammon,cityblock,centroid
11980,0.202439398271801,20,Histogram,DiffusionMaps,correlation,single
11981,0.202330676170104,2,Polygon,MCML,correlation,centroid
11982,0.202320645048672,2,Histogram,KernelPCA,seuclidean,weighted
11983,0.202212375888682,20,Histogram,DiffusionMaps,cityblock,single
11984,0.202157091614542,20,Histogram,DiffusionMaps,seuclidean,single
11985,0.202029905502017,2,Histogram,KernelPCA,euclidean,median
11986,0.202029905502017,2,Histogram,KernelPCA,minkowski,median
11987,0.201920629353497,10,Polygon,KernelPCA,euclidean,ward
